fm_id,type,Title,alternative_title,language,y1,y2,d1,d2,m1,m2,format,place_id_fk1,place_id_fk2,link,ext_notes,import
1675,printed,"Dialectica, seu generalia logices praecepta omnia","quaecunque ex toto Aristotelis organo, in academia Lovaniensi & Coloniensi, philosophiae tyronibus ad ediscendum proponi consueverunt",Latin,1566,1566,0,0,0,0,8o,26,0,http://www.odis.be/lnk/en/PB_46123,0,Imported from 20231128_ml_ingest_odis_ml_pb.json
1676,printed,Logices fundamentum seu prodidagmata de dialecticis vocum affectionibus et proprietatibus,0,Latin,1566,1566,0,0,0,0,8o,26,0,http://www.odis.be/lnk/en/PB_46124,0,Imported from 20231128_ml_ingest_odis_ml_pb.json
1677,printed,"Dialectica, seu generalia logices praecepta omnia",0,Latin,1568,1568,0,0,0,0,0,26,0,http://www.odis.be/lnk/en/PB_46125,0,Imported from 20231128_ml_ingest_odis_ml_pb.json
1678,printed,Logices fundamentum seu prodidagmata de dialecticis vocum affectionibus et proprietatibus,"juxta laudatissimum celeberrimae Lovaniensis academiae morem, ante annos complures in gratiam suorum discipulorum conscripta, & postea ab eodem saepius recognita",Latin,1568,1568,0,0,0,0,8o,26,0,http://www.odis.be/lnk/en/PB_46126,0,Imported from 20231128_ml_ingest_odis_ml_pb.json
1679,printed,Logices prima rudimenta seu prodidagmata de dialecticis vocum affectionibus et proprietatibus,0,Latin,1569,1569,0,0,0,0,8o,26,0,http://www.odis.be/lnk/en/PB_46127,0,Imported from 20231128_ml_ingest_odis_ml_pb.json
1680,printed,"Dialectica, seu generalia logices praecepta omnia",0,Latin,1570,1570,0,0,0,0,8o,26,0,http://www.odis.be/lnk/en/PB_46128,0,Imported from 20231128_ml_ingest_odis_ml_pb.json
1681,printed,Prodidagmata de dialectices vocum affectionibus et proprietatibus,0,Latin,1572,1572,0,0,0,0,8o,26,0,http://www.odis.be/lnk/en/PB_46129,0,Imported from 20231128_ml_ingest_odis_ml_pb.json
1682,printed,Dialectica seu generalia logices praecepta omnia [lost book],0,Latin,1573,1573,0,0,0,0,0,26,0,http://www.odis.be/lnk/en/PB_46130,0,Imported from 20231128_ml_ingest_odis_ml_pb.json
1683,printed,Prodidagmata de dialecticis vocum affectionibus et proprietaribus,"non modo philosophiae, verum etiam alterius cujusuis disciplinae studiosis, ad obscurorum locorum tenebras depellendas, veritatemque facilius eruendam, utilissima",Latin,1574,1574,0,0,0,0,8o,26,0,http://www.odis.be/lnk/en/PB_46131,<p>philosophy =&gt; logic</p>,Imported from 20231128_ml_ingest_odis_ml_pb.json
1684,printed,"Dialectica, seu generalia logices praecepta omnia",0,Latin,1575,1575,0,0,0,0,8o,26,0,http://www.odis.be/lnk/en/PB_46132,0,Imported from 20231128_ml_ingest_odis_ml_pb.json
